3868, 1955
3678, 1867
3434, 1744
3295, 1675
3158, 1607
3011, 1533
2650, 1352
2440, 1248
2183, 1121
1834, 952
1507, 789
1389, 730
988, 531
756, 415
573, 325
398, 237
83, 82
82, 82
394, 235
777, 426
1085, 581
1160, 618
1571, 823
1990, 1032
2016, 1045
2524, 1292
2847, 1451
2987, 1522
3216, 1637
3417, 1736
3868, 1956
